name,firm,cik,status
Maple-Brown Abbott,Maple-Brown Abbott,0001681596,resolved
Maren Capital,Maren Capital,0001961415,resolved
Mario Cibelli,Marathon Partners Equity Management,0001353311,resolved
Mario Gabelli,GAMCO Investors,0000807249,resolved
Mark Hillman,Hillman Capital Management,0001314620,resolved
Mason Hawkins,Southeastern Asset Management,0000807985,resolved
Matson Money. Inc.,Matson Money. Inc.,0001672512,resolved
Matthews China Fund,Matthews International Capital Management,0001028074,resolved
Matthews Emerging Markets Small Co.,Matthews International Capital Management,,no_13f
Matthews Japan Fund,Matthews International Capital Management,,no_13f
Matthews Pacific Tiger Fund,Matthews International Capital Management,,no_13f
Mawer Canadian Equity Fund,Mawer Investment Management,0001538449,resolved
Mawer New Canada Fund,Mawer Investment Management,,no_13f
Melqart Asset Management (UK),Melqart Asset Management (UK),0001712901,resolved
Meritage Group,Meritage Group,0001427119,resolved
Metropolis Capital,Metropolis Capital,0001765388,resolved
Michael Burry,Scion Asset Management,0001649339,resolved
Michael Dell,MSD Capital,0001105497,resolved
Milestone Resources Group,Milestone Resources Group,0001708139,resolved
Millburn Ridgefield LLC /DE/,Millburn Ridgefield LLC /DE/,0001294571,resolved
Mirova US,Mirova US,0001802900,resolved
Mohnish Pabrai,Dalal Street,0001549575,resolved
Murray Stahl,Horizon Kinetics,0001519418,resolved
NAYA CAPITAL MANAGEMENT UK,NAYA CAPITAL MANAGEMENT UK,0001665012,resolved
NEA Management Company,NEA Management Company,0001512848,resolved
Nelson Peltz,Trian Fund Management,0001345471,resolved
Neumeier Poma Investment Counsel,Neumeier Poma Investment Counsel,0001044936,resolved
Newlands Management Operations,Newlands Management Operations,0001908450,resolved
Nextech Invest,Nextech Invest,0001911010,resolved
No Street GP,No Street GP,0001765774,resolved
North Peak Capital Management,North Peak Capital Management,0001747888,resolved
North of South Capital,North of South Capital,0002033334,resolved
Oaktop Capital Management II,Oaktop Capital Management II,0001550660,resolved
Optimus Prime Fund Management Co.,Optimus Prime Fund Management Co.,0001732539,resolved
Oriental Harbor Investment Master Fund,Oriental Harbor Investment Master Fund,0002046333,resolved
Owl Creek Asset Management,Owl Creek Asset Management,0001313756,resolved
P/E Global,P/E Global,0001910344,resolved
